"zielkreis_ags","zielkreis","p_x18_bis_24_jahre","tooltip"
"14612","Dresden, Stadt",60.3575446930866,"Hier leben rund <b> 40 000 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 7242 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+60,4 je 1.000 Personen</b>."
"14625","Bautzen",-46.3102409638554,"Hier leben rund <b> 13 280 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1845 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-46,3 je 1.000 Personen</b>."
"14626","Görlitz",-39.0521097811631,"Hier leben rund <b> 11 030 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1292 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-39,1 je 1.000 Personen</b>."
"14627","Meißen",-44.1521551191799,"Hier leben rund <b> 10 800 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1430 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-44,2 je 1.000 Personen</b>."
"14628","Sächsische Schweiz-Osterzgebirge",-37.8397273442279,"Hier leben rund <b> 11 440 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1299 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-37,8 je 1.000 Personen</b>."
"14713","Leipzig, Stadt",89.7739914514901,"Hier leben rund <b> 45 540 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>12 266 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+89,8 je 1.000 Personen</b>."
"14729","Leipzig, Landkreis",-36.7768236620696,"Hier leben rund <b> 11 530 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1272 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-36,8 je 1.000 Personen</b>."
"14730","Nordsachsen",-30.0969791550552,"Hier leben rund <b>  8970 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  810 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-30,1 je 1.000 Personen</b>."
"15001","Dessau-Roßlau, Stadt",-12.9950495049505,"Hier leben rund <b>  3230 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  126 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-13,0 je 1.000 Personen</b>."
"15002","Halle (Saale), Stadt",47.1506812970228,"Hier leben rund <b> 17 590 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 2488 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+47,2 je 1.000 Personen</b>."
