"zielkreis_ags","zielkreis","p_x18_bis_24_jahre","tooltip"
"12062","Elbe-Elster",-4.69460285974047,"Hier leben rund <b>  4030 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  568 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-4,7 je 100 Personen</b>."
"12063","Havelland",-2.83075991522858,"Hier leben rund <b>  8810 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  748 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-2,8 je 100 Personen</b>."
"12064","Märkisch-Oderland",-3.85939912124451,"Hier leben rund <b>  8420 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  975 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,9 je 100 Personen</b>."
"12065","Oberhavel",-2.95506100177794,"Hier leben rund <b> 10 870 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  964 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,0 je 100 Personen</b>."
"12066","Oberspreewald-Lausitz",-2.77659120034173,"Hier leben rund <b>  4680 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  390 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-2,8 je 100 Personen</b>."
"12067","Oder-Spree",-3.1916777335104,"Hier leben rund <b>  7530 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  721 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,2 je 100 Personen</b>."
"12068","Ostprignitz-Ruppin",-1.19956379498364,"Hier leben rund <b>  4580 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  165 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-1,2 je 100 Personen</b>."
"12069","Potsdam-Mittelmark",-5.12484803142243,"Hier leben rund <b> 10 690 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1644 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-5,1 je 100 Personen</b>."
"12070","Prignitz",-2.66785678865417,"Hier leben rund <b>  3360 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  269 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-2,7 je 100 Personen</b>."
"12071","Spree-Neiße",-5.51772716600141,"Hier leben rund <b>  4260 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  705 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-5,5 je 100 Personen</b>."
"12072","Teltow-Fläming",-2.3272131914396,"Hier leben rund <b>  8550 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  597 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-2,3 je 100 Personen</b>."
"12073","Uckermark",-3.19072735560331,"Hier leben rund <b>  5120 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  490 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,2 je 100 Personen</b>."
"13003","Rostock",7.76937696248554,"Hier leben rund <b> 16 140 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 3761 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+7,8 je 100 Personen</b>."
"13004","Schwerin",1.95937443825274,"Hier leben rund <b>  5560 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  327 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+2,0 je 100 Personen</b>."
"13071","Mecklenburgische Seenplatte",-3.6376416835076,"Hier leben rund <b> 11 380 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1242 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,6 je 100 Personen</b>."
"13072","Landkreis Rostock",-6.214174543522,"Hier leben rund <b>  8780 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1637 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-6,2 je 100 Personen</b>."
"13073","Vorpommern-Rügen",-3.37231341415442,"Hier leben rund <b>  9320 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  943 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,4 je 100 Personen</b>."
"13074","Nordwestmecklenburg",-3.47312668229574,"Hier leben rund <b>  7680 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  800 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,5 je 100 Personen</b>."
"13075","Vorpommern-Greifswald",1.06020739823557,"Hier leben rund <b> 12 920 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  411 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+1,1 je 100 Personen</b>."
"13076","Ludwigslust-Parchim",-5.05248586918906,"Hier leben rund <b>  8670 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1314 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-5,1 je 100 Personen</b>."
"14511","Chemnitz, Stadt",3.25083784480536,"Hier leben rund <b> 12 930 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1261 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+3,3 je 100 Personen</b>."
"14521","Erzgebirgskreis",-4.0582199321795,"Hier leben rund <b> 15 140 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1843 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-4,1 je 100 Personen</b>."
"14522","Mittelsachsen",-3.15835581068308,"Hier leben rund <b> 14 460 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1370 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,2 je 100 Personen</b>."
"14523","Vogtlandkreis",-3.08214662447257,"Hier leben rund <b> 10 110 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  935 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,1 je 100 Personen</b>."
"14524","Zwickau",-3.05355500213143,"Hier leben rund <b> 14 860 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1361 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,1 je 100 Personen</b>."
"14612","Dresden, Stadt",6.03575446930866,"Hier leben rund <b> 40 000 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 7242 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+6,0 je 100 Personen</b>."
"14625","Bautzen",-4.63102409638554,"Hier leben rund <b> 13 280 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1845 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-4,6 je 100 Personen</b>."
"14626","Görlitz",-3.90521097811631,"Hier leben rund <b> 11 030 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1292 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,9 je 100 Personen</b>."
"14627","Meißen",-4.41521551191799,"Hier leben rund <b> 10 800 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1430 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-4,4 je 100 Personen</b>."
"14628","Sächsische Schweiz-Osterzgebirge",-3.78397273442279,"Hier leben rund <b> 11 440 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1299 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,8 je 100 Personen</b>."
"14713","Leipzig, Stadt",8.97739914514901,"Hier leben rund <b> 45 540 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>12 266 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+9,0 je 100 Personen</b>."
"14729","Leipzig, Landkreis",-3.67768236620696,"Hier leben rund <b> 11 530 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1272 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,7 je 100 Personen</b>."
"14730","Nordsachsen",-3.00969791550552,"Hier leben rund <b>  8970 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  810 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,0 je 100 Personen</b>."
"15001","Dessau-Roßlau, Stadt",-1.29950495049505,"Hier leben rund <b>  3230 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  126 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-1,3 je 100 Personen</b>."
"15002","Halle (Saale), Stadt",4.71506812970228,"Hier leben rund <b> 17 590 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 2488 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+4,7 je 100 Personen</b>."
"15003","Magdeburg, Landeshauptstadt",4.70548904072379,"Hier leben rund <b> 15 950 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 2252 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+4,7 je 100 Personen</b>."
"15081","Altmarkkreis Salzwedel",-4.17447150120417,"Hier leben rund <b>  3740 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  468 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-4,2 je 100 Personen</b>."
"15082","Anhalt-Bitterfeld",-2.76685817961899,"Hier leben rund <b>  6610 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  549 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-2,8 je 100 Personen</b>."
