"ags","region","bevoelkerung_2024_gesamt","durchschnittsalter_2024_gesamt","bevoelkerung_18_24_deutsch","anteil_18_24_an_bevoelkerung_deutsch","wanderungssaldo_18_24_deutsch","bevoelkerung_30_49_deutsch","anteil_30_49_an_bevoelkerung_deutsch","wanderungssaldo_30_49_deutsch"
"05370","Heinsberg",263681,45.0565596856269,14584,6.40534071194853,-2.89601932117135,53355,23.4336912840108,1.19103101859044
"05374","Oberbergischer Kreis",274057,44.8004557293376,16347,6.72522318673633,-2.79314427686873,55453,22.8135927921998,0.795819638834521
"05378","Rheinisch-Bergischer Kreis",284273,46.2335142011691,15500,6.14910996592203,-3.81860589923009,55789,22.1324319928274,1.13789210741221
"05382","Rhein-Sieg-Kreis",605441,45.2411682539967,35200,6.60535446546356,-2.78690183738626,121568,22.8124923766328,0.891606058584106
"05512","Bottrop (Stadt)",118535,45.7447671858049,6498,6.26252891287587,-1.21927523559701,24042,23.1707787201234,0.253778637727489
"05513","Gelsenkirchen (Stadt)",267930,42.7407374729629,15433,7.67265080067415,0.117401513175059,44951,22.34778242345,-0.535457363651196
"05515","Münster (Stadt)",308258,41.8006824008087,33340,12.2864429015758,10.2861701066906,65345,24.0809121596722,-2.12664722067068
"05554","Borken",380796,43.6359460443457,22920,6.78716952525348,-2.86317797765059,79458,23.5294466028617,0.612492603007175
"05558","Coesfeld",227859,45.1562866289244,12688,6.1287284144427,-4.324756505306,47265,22.8305760173892,1.21668639477743
"05562","Recklinghausen",621305,45.5226761677712,33927,6.36912662222464,-1.96018177077513,119629,22.4579906472754,0.585298384104173
"05566","Steinfurt",451712,44.1985716578281,27131,6.82022714817924,-3.04037292164261,90079,22.6441797678242,0.73645154036429
"05570","Warendorf",282639,44.8662823720577,16740,6.78235291734362,-3.4535394008777,55327,22.4162030978417,0.90052190030241
"05711","Bielefeld (Stadt)",331605,43.0226208875473,23845,8.73388836592593,4.42947287206194,64585,23.6560360710139,-1.05797846647657
"05754","Gütersloh",363982,44.0940194555003,21693,7.02488973517011,-2.93101674236745,69624,22.546486097888,0.364988106588083
"05758","Herford",254404,45.2855896290043,14818,6.6097491346394,-2.53415038937827,50744,22.6349784105913,0.646025524277098
"05762","Höxter",139252,46.0510489731417,8115,6.40100333656736,-3.57129171935472,27691,21.8422900052849,0.584392014519056
"05766","Lippe",347149,45.0557639823372,21135,6.8029072087963,-2.45131521029704,68378,22.0094246095611,0.434694352439091
"05770","Minden-Lübbecke",320557,44.8761967516469,19149,6.72026784210231,-2.6231130908191,63963,22.4475686450671,0.395916583745308
"05774","Paderborn",315912,43.1352430459254,22302,7.96136052090473,0.105050844608791,67759,24.188585218186,-0.265626090163363
"05911","Bochum (Stadt)",358676,44.4623510666461,23073,7.62983416279493,4.12103341757933,72584,24.0022486400688,-0.84326949527143
"05913","Dortmund (Stadt)",603462,43.2645203255219,36774,7.68714607333455,2.03481009894592,115780,24.2023650505975,-1.15868206501852
"05914","Hagen (Stadt)",190384,43.7545585858745,11137,7.56348176872873,-1.34500364697301,32690,22.2007918667273,-0.933992379775512
"05915","Hamm (Stadt)",179968,43.9428225285228,11319,7.66901093540388,-1.44069469113874,33490,22.6906242801198,-0.0281641972700846
"05916","Herne (Stadt)",155851,44.2619528080939,9260,7.46581527347781,-0.230777299905591,27785,22.4014770381837,-0.227928517737203
"05954","Ennepe-Ruhr-Kreis",314167,46.4097740867517,16959,6.1828946840741,-0.917177744626775,60735,22.1427034988643,0.364638918534329
